"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
931,"NCT02313155","Phase 1/2 Study of TAK-850 Subcutaneous Injection in Healthy Adults",,"Completed","Has Results","Influenza Infection","Drug: Subcutaneous injection of TAK-850|Drug: Intramuscular injection of TAK-850","Number of Participants Reporting Solicited Local and Systemic Adverse Events (AEs)|Number of Participants Who Experience at Least One Treatment Emergent Adverse Event (TEAE)|Percentage of Participants With Seroprotection in Hemagglutination Inhibition (HI) Antibody Titer (Egg-derived Antigen) of >=40.|Percentage of Participants With Seroconversion in Hemagglutination Inhibition (HI) Antibody Titer (Egg-Derived Antigen)|Geometric Mean Fold Increase (GMFI) in HI Antibody Titer (Egg-derived Antigen) From Pre-vaccination to 21 Days After Vaccination|Number of Participants Reporting Clinically Significant Change From Baseline in Laboratory Values|Change From Baseline in Blood Pressure|Change From Baseline in Pulse|Change From Baseline in Body Temperature|Geometric Mean Titer (GMT) in HI Antibody Titer (Egg-derived Antigen)|Percentage of Participants With Seroprotection in SRH Antibody Titer (Egg-derived Antigen) of >=25 mm^2|Percentage of Participants With Seroconversion in SRH Antibody Titer (Egg-Derived Antigen)|GMFI in SRH Antibody Titer (Egg-derived Antigen) From Pre-vaccination to 21 Days After Vaccination|GMT in SRH Antibody Titer (Egg-derived Antigen)|Percentage of Participants With Seroprotection in HI Antibody Titer (Cell Derived Antigen) of >=40|Percentage of Participants With Seroconversion in HI Antibody Titer (Cell Derived Antigen)|GMFI in HI Antibody Titer (Cell Derived Antigen) From Pre-vaccination to 21 Days After Vaccination|GMT in HI Antibody Titer (Cell Derived Antigen)|Percentage of Participants With Seroprotection in SRH Antibody Titer (Cell Derived Antigen) of >=25 mm^2|Percentage of Participants With Seroconversion in SRH Antibody Titer (Cell Derived Antigen)|GMFI in SRH Antibody Titer (Cell Derived Antigen) From Pre-vaccination to 21 Days After Vaccination|GMT in SRH Antibody Titer (Cell Derived Antigen)","Takeda","All","20 Years to 49 Years   (Adult)","Phase 1|Phase 2","110","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","TAK-850/CPH-002|U1111-1164-1969|JapicCTI-142724","December 2014","January 2015","January 2015","December 9, 2014","February 17, 2016","February 17, 2016",,,"https://ClinicalTrials.gov/show/NCT02313155"
932,"NCT02311478","Tracking IUD Bleeding Experiences: An Evaluation of Bleeding Profiles in New Intrauterine Device Users","TRIBE","Completed","Has Results","Intrauterine Devices, Copper|Metrorrhagia|Menstruation|Menstrual Cycle","Device: T380A Intrauterine Copper Contraceptive","Evaluate Changes in Bleeding Duration Among Women Initiating the Copper T380 IUD During the 90 Days Prior to Initiation Compared to Two 90 Periods After IUD Insertion.|Assess the Relationship of Menstrual Cycle Changes Among Women Initiating the Copper T380 IUD to Method Satisfaction and Continuation at 6 Months Post Insertion.","University of Utah","Female","18 Years to 40 Years   (Adult)","Not Applicable","79","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","75363","December 2014","August 2016","February 2017","December 8, 2014","July 30, 2019","July 30, 2019","University of Utah Health Sciences Center, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT02311478"
933,"NCT02308748","Ability of Late Sodium or Calcium Current Block to Balance the ECG Effects of Potassium Current Block",,"Completed","Has Results","Drug-induced QT Prolongation|Pharmacokinetics|Pharmacodynamics","Drug: Dofetilide|Drug: Mexiletine|Drug: Lidocaine|Drug: Moxifloxacin|Drug: Diltiazem|Drug: Placebo","Change in Placebo Corrected Change From Baseline QTc and J-Tpeakc Intervals on the ECG Measured in Milliseconds When Dofetilide is Administered With Mexiletine or Lidocaine Compared to When Dofetilide is Administered Alone at Evening Dose on Treatment Day|Change in Placebo Corrected Change From Baseline QTc Interval on the ECG Measured in Milliseconds When Moxifloxacin is Administered With Diltiazem at the Evening Dose Compared to When Moxifloxacin is Administered Alone at Afternoon Dose on Treatment Day.","Food and Drug Administration (FDA)|Spaulding Clinical Research LLC","All","18 Years to 35 Years   (Adult)","Phase 1","22","U.S. Fed|Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science","14-022D|SCR-003","May 2014","June 2014","June 2014","December 4, 2014","June 8, 2016","June 8, 2016",,,"https://ClinicalTrials.gov/show/NCT02308748"
934,"NCT02308189","The Back Exercises to Neutralize Disability Study","BEND","Completed","Has Results","Low Back Pain","Behavioral: Exercise with blood flow restriction|Behavioral: Exercise","Trunk Extensor Muscle Cross Sectional Area % of Change|Muscle Strength % of Change|Muscle Endurance (Time to Task Failure) % of Change","Ohio University|National Institutes of Health (NIH)|National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)","All","18 Years to 50 Years   (Adult)","Not Applicable","32","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","14F025|1R21AR063909","December 2014","November 24, 2016","May 24, 2017","December 4, 2014","June 19, 2018","June 19, 2018","Ohio Musculoskeletal and Neurological Institute (OMNI) at Ohio University, Athens, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT02308189"
935,"NCT02305446","Safety and Blood Donations in Adults Vaccinated With rMenB+OMV NZ.",,"Completed","Has Results","Meningitis, Meningococcal, Serogroup B","Biological: Meningococcal (group B) multicomponent recombinant adsorbed vaccine","Number of Subjects Reporting Unsolicited Adverse Events (AEs).","Novartis","All","18 Years to 50 Years   (Adult)","Phase 3","55","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","V72_74|2014-002972-95","December 2014","April 2015","April 2015","December 2, 2014","November 1, 2015","January 5, 2016","01, Novartis Investigational Site, Krakow, Poland",,"https://ClinicalTrials.gov/show/NCT02305446"
936,"NCT02305329","Dosage Form Proportionality of Opicapone To-Be-Marketed Formulation",,"Completed","Has Results","Epilepsy","Drug: BIA 9-1067","Cmax - Maximum Observed Plasma Concentration of 9-1067|Tmax - Time of Occurrence of Cmax of 9-1067|AUC0-t - Area Under the Plasma Concentration-time Curve Calculated Between Time of Administration and Time t|AUC0-∞ - Area Under the Plasma Concentration-time Curve Extrapolated to Infinity","Bial - Portela C S.A.","Male","18 Years to 45 Years   (Adult)","Phase 1","56","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BIA-91067-121","February 2014","April 2014","April 2014","December 2, 2014","August 21, 2015","August 21, 2015",,,"https://ClinicalTrials.gov/show/NCT02305329"
937,"NCT02305316","Single-dose Pharmacokinetics and Relative Bioavailability of Two Different Formulations of Opicapone",,"Completed","Has Results","Parkinson Disease","Drug: BIA 9-1067 non-micronized|Drug: BIA 9-1067 micronized","Cmax - Maximum Observed Plasma Concentration|AUC0-t - Area Under the Plasma Concentration-time Curve From Time 0 to the Time of Last Quantifiable Concentration|Tmax - Time of Occurrence of Cmax of BIA 9-1067|AUC0-inf - Area Under the Plasma Concentration-time Curve From Time 0 to the Infinity","Bial - Portela C S.A.","All","18 Years to 45 Years   (Adult)","Phase 1","28","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BIA-91067-120","February 2014","March 2014","March 2014","December 2, 2014","August 21, 2015","August 21, 2015",,,"https://ClinicalTrials.gov/show/NCT02305316"
938,"NCT02305017","Effect of Paracetamol on Opicapone Pharmacokinetics in Healthy Volunteers",,"Completed","Has Results","Parkinson's Disease","Drug: BIA 9-1067|Drug: Paracetamol","Cmax - Maximum Plasma Concentration|Tmax - Time of Occurrence of Cmax|AUC0-t - Area Under the Plasma Concentration-time Curve (AUC) From Time Zero to the Last Sampling Time at Which the Drug Concentration Was at or Above the Lower Limit of Quantification|AUC0-∞ - Area Under the Plasma Concentration-time Curve (AUC) From Time Zero to Infinity.","Bial - Portela C S.A.","All","18 Years to 45 Years   (Adult)","Phase 1","28","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BIA-91067-125","March 2014","April 2014","April 2014","December 2, 2014","November 18, 2015","November 18, 2015",,,"https://ClinicalTrials.gov/show/NCT02305017"
939,"NCT02304432","Targeting a Genetic Mutation in Glycine Metabolism With D-cycloserine","DCS","Completed","Has Results","Schizophrenia|Bipolar Disorder","Drug: D-cycloserine|Drug: DCS or placebo","Positive and Negative Symptom Scores|Brief Psychiatric Rating Scale (BPRS) Scores|Clinical Global Impression (CGI) Severity Scores|Mania Symptom Scores|Depression Symptom Scores|Neurocognitive Function|Brain Glycine/CR Ratio|Auditory Evoked Potentials in Latency (Msec)|Auditory Evoked Potentials in Amplitude (Degrees Measured in Microvolts)|Auditory Evoked Potentials in Gamma Oscillations (the Power Spectrum is Measured in Microvolts Squared)|Auditory Evoked Potentials - P50 Ratio (P50 S2/S1) (Amplitude)","Mclean Hospital|University of Minnesota","All","34 Years to 62 Years   (Adult)","Early Phase 1","2","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","1R21MH105732","September 27, 2015","September 30, 2016","July 31, 2017","December 2, 2014","September 19, 2017","September 19, 2017",,"""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/32/NCT02304432/ICF_000.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/32/NCT02304432/Prot_001.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/32/NCT02304432/SAP_002.pdf","https://ClinicalTrials.gov/show/NCT02304432"
940,"NCT02303574","Single + Multiple Ascending Dose and Food Effect Study of AZD7986 in Healthy Volunteers, PK, PD and Safety Study",,"Completed","Has Results","Safety, Pharmacokinetics, Pharmacodynamics, Food Effect","Drug: AZD7986, oral solution, 1 to 50 mg/mL|Drug: Placebo, oral solution","Safety and Tolerability of AZD7986 by Assessment of the Number of Adverse Events (AEs) Following Administration of Oral Solution in Single Ascending Dose (SAD - Part 1a and 1b) and Multiple Ascending Doses (MAD -Part 2)|Rate and Extent of Absorption AZD7986 by Assessment of the Area Under the Plasma Concentration Versus Time Curve, From Time Zero to the Time of the Last Quantifiable Concentration (AUC(0-last)) for Part 1a and 1b - SAD|Rate and Extent of Absorption of AZD7986 by Assessment of the Area Under the Plasma Concentration Versus Time Curve, From Time Zero to the Time of the Last Quantifiable Analyte Concentration (AUC(0-last)) for Part 2 - MAD|Rate and Extent of Absorption AZD7986 by Assessment of the Area Under Plasma Concentration-time Curve From Zero Extrapolated to Infinity (AUC) for Part 1a and 1b - SAD|Rate and Extent of Absorption of AZD7986 by Assessment of the Area Under Plasma Concentration-time Curve From Zero Extrapolated to Infinity (AUC) for Part 2 - MAD|Rate and Extent of Absorption of AZD7986 by Assessment of Area Under the Plasma Concentration-time Curve From Time Zero to the End of the Dosing Interval (AUCτ) for Part 2 - MAD|Rate and Extent of Absorption AZD7986 by Assessment of the Observed Maximum Plasma Concentration (Cmax) for Part 1a and 1b - SAD|Rate and Extent of Absorption of AZD7986 by Assessment of the Observed Maximum Plasma Concentration (Cmax) for Part 2 - MAD|Rate and Extent of Absorption AZD7986 by Assessment of the Time to Reach Maximum Observed Concentration (Tmax) for Part 1a and 1b - SAD|Rate and Extent of Absorption of AZD7986 by Assessment of the Time to Reach Maximum Observed Concentration (Tmax) for Part 2 - MAD|Rate and Extent of Absorption AZD7986 by Assessment of the Apparent Terminal Elimination Half-life (t½.λz) for Part 1a and 1b - SAD|Rate and Extent of Absorption of AZD7986 by Assessment of the Apparent Terminal Elimination Half-life (t½.λz) for Part 2 - MAD|Rate and Extent of Absorption AZD7986 by Assessment of the Mean Residence Time (MRT) for Part 1a and 1b - SAD|Rate and Extent of Absorption of AZD7986 by Assessment of Mean Residence Time (MRT) for Part 2 - MAD|Rate and Extent of Absorption AZD7986 by Assessment of the Apparent Clearance (CL/F) for Part 1a and 1b - SAD|Rate and Extent of Absorption of AZD7986 by Assessment of the Apparent Clearance (CL/F) for Part 2 - MAD|Rate and Extent of Absorption AZD7986 by Assessment of the Apparent Volume of Distribution (Vz/F) for Part 1a and 1b - SAD|Rate and Extent of Absorption of AZD7986 by Assessment of the Apparent Volume of Distribution (Vz/F) for Part 2 - MAD|Rate and Extent of Absorption of AZD7986 by Assessment of the Accumulation Ratio for (Rac(AUC(0-τ)) for Part 2 - MAD|Rate and Extent of Absorption of AZD7986 by Assessment of the Accumulation Ratio for Cmax (Rac(Cmax)) for Part 2 - MAD|Rate and Extent of Absorption of AZD7986 by Assessment of the Temporal Change Parameter (TCP) for Part 2 - MAD|Rate and Extent of Absorption of AZD7986 by Assessment of Urine PK Parameter (Cumulative Amount of Analyte Excreted From 0 to 48 Hours (CumAe0-48)) Following Administration of Single Dose Oral Solution for Part 1a and 1b - SAD|Rate and Extent of Absorption of AZD7986 by Assessment of Urine PK Parameter (Percentage of Dose Excreted Unchanged Into the Urine From 0 to 48 Hours (Cumfe0-48)) Following Administration of Single Dose Oral Solution for Part 1a and 1b - SAD|Rate and Extent of Absorption of AZD7986 by Assessment of Urine PK Parameter (Renal Clearance From 0 to 48 Hours (CLR0-48)) Following Administration of Single Dose Oral Solution for Part 1a and 1b - SAD|Rate and Extent of Absorption of AZD7986 by Assessment of Urine PK (Cumulative Amount of Analyte Excreted From 0 to 24 Hours (CumAe0-24)) Parameters for Part 2 - MAD|Rate and Extent of Absorption of AZD7986 by Assessment of Urine PK (Percentage of Dose Excreted Unchanged Into the Urine From 0 to 24 Hours (Cumfe0-24)) Parameter for Part 2 - MAD|Rate and Extent of Absorption of AZD7986 by Assessment of Urine PK (Renal Clearance From 0 to 24 Hours (CLR0-24)) Parameter for Part 2 - MAD|Rate and Extent of Absorption of AZD7986 by Assessment of Urine PK (Cumulative Amount of Analyte Excreted From 0 to 48 Hours (CumAe0-48)) Parameter for Part 2 - MAD|Rate and Extent of Absorption of AZD7986 by Assessment of Urine PK (Percentage of Dose Excreted Unchanged Into the Urine From 0 to 48 Hours (Cumfe0 48)) Parameter for Part 2 - MAD|Rate and Extent of Absorption of AZD7986 by Assessment of Urine PK (Renal Clearance From 0 to 48 Hours (CLR0-48)) Parameter for Part 2 - MAD|Effect of Food on Absorption AZD7986 by Assessment of the Area Under the Plasma Concentration Versus Time Curve, From Time Zero to the Time of the Last Quantifiable Concentration (AUC(0-last)) for Part 1a and 1b - SAD|Effect of Food on Absorption AZD7986 by Assessment of the Area Under Plasma Concentration-time Curve From Zero Extrapolated to Infinity (AUC) for Part 1a and 1b - SAD|Effect of Food on Absorption AZD7986 by Assessment of the Observed Maximum Plasma Concentration (Cmax) for Part 1a and 1b - SAD|Effect of Food on Absorption AZD7986 by Assessment of the Time to Reach Maximum Observed Concentration (Tmax) for Part 1a and 1b - SAD|Effect of Food on Absorption AZD7986 by Assessment of the Apparent Terminal Elimination Half-life (t½.λz) for Part 1a and 1b - SAD|Effect of Food on Absorption AZD7986 by Assessment of the Mean Residence Time (MRT) for Part 1a and 1b - SAD|Effect of Food on Absorption AZD7986 by Assessment of the Apparent Clearance (CL/F) for Part 1a and 1b - SAD|Effect of Food on Absorption AZD7986 by Assessment of the Apparent Volume of Distribution (Vz/F) for Part 1a and 1b - SAD|Assessment of Mean Normalized Relative Neutrophil Elastase (NE) Activity in All Cohorts of Part 2|Assessment of Absolute Neutrophil Count (ANC) in All Cohorts of Part 2","AstraZeneca","All","18 Years to 50 Years   (Adult)","Phase 1","89","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Basic Science","D6190C00001|2014-004043-13","December 3, 2014","August 3, 2016","August 3, 2016","December 1, 2014","December 11, 2018","December 11, 2018","Research Site, Harrow, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02303574"
